Name,Condition,Recommendations,Acrive Ingredients,Uses,
Alka-Seltzer Plus,"Cough/Cold/Flu Combinations, Daytime",120897.96,"In each capsule:
Acetaminophen 250 mg; Pain reliever/fever reducer
Dextromethorphan hydrobromide 10 mg; Cough suppressant
Guaifenesin 200 mg; Expectorant
Phenylephrine hydrochloride 5 mg; Nasal decongestant","['temporarily relieves these symptoms due to a cold or flu:\r\n\t\t\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\tcough\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tsinus congestion and pressure\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing', 'headache', 'minor aches and pains', 'cough', 'sore throat', 'nasal congestion', 'sinus congestion and pressure', 'runny nose', 'sneezing', 'temporarily reduces fever']",
Alka-Seltzer Plus,"Cough/Cold/Flu Combinations, Daytime",120897.96,"In each tablet:
Aspirin 325 mg (NSAID)*; Pain reliever/fever reducer
Chlorpheniramine maleate 2 mg; Antihistamine
Phenylephrine bitartrate 7.8 mg; Nasal decongestant

*nonsteroidal anti-inflammatory drug","['minor aches and pains', 'headache', 'runny nose', 'nasal and sinus congestion', 'sneezing', 'sore throat', 'temporarily reduces fever']",
Alka-Seltzer Plus,"Cough/Cold/Flu Combinations, Daytime",120897.96,"In each tablet:
Aspirin 325 mg (NSAID)*; Pain reliever/fever reducer
Chlorpheniramine maleate 2 mg; Antihistamine
Phenylephrine bitartrate 7.8 mg; Nasal decongestant

*nonsteroidal anti-inflammatory drug","['minor aches and pains', 'headache', 'runny nose', 'nasal and sinus congestion', 'sneezing', 'sore throat', 'temporarily reduces fever']",
Alka-Seltzer Plus,"Cough/Cold/Flu Combinations, Daytime",120897.96,"In each tablet:
Acetaminophen 250 mg; Pain reliever/fever reduce
Chlorpheniramine maleate 2 mg; Antihistamine
Dextromethorphan hydrobromide 10 mg; Cough suppressant
Phenylephrine hydrochloride 5 mg; Nasal decongestant","['minor aches and pains', 'headache', 'runny nose', 'nasal and sinus congestion', 'sneezing', 'sore throat', 'temporarily reduces fever']",
Alka-Seltzer Plus,"Cough/Cold/Flu Combinations, Daytime",120897.96," 









					 

					Active ingredients (in each capsule)

					Purposes





					 

					Acetaminophen 325 mg

					Pain reliever/fever reducer



					 

					Dextromethorphan hydrobromide 10 mg

					Cough suppressant



					 

					Phenylephrine hydrochloride 5 mg

					Nasal decongestant","['temporarily relieves these symptoms due to a cold or flu:\r\n\t\t\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tcough\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\tnasal congestion', 'minor aches and pains', 'headache', 'cough', 'sore throat', 'nasal congestion', 'temporarily relieves sinus congestion and pressure', 'helps clear nasal passages and shrinks swollen membranes', 'temporarily reduces fever']",
Alka-Seltzer Plus,"Cough/Cold/Flu Combinations, Daytime",120897.96,"In each capsule:
Acetaminophen 325 mg; pain reliever/fever reducer
Dextromethorphan hydrobromide 10 mg; cough suppressant
Phenylephrine hydrochloride 5 mg; nasal decongestant","['temporarily relieves these symptoms due to a cold or flu:\r\n\t\t\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tcough\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\tnasal and sinus congestion', 'minor aches and pains', 'headache', 'cough', 'sore throat', 'nasal and sinus congestion', 'temporarily reduces fever']",
Alka-Seltzer Plus,"Cough/Cold/Flu Combinations, Daytime",120897.96,"In each tablet:
Aspirin 325 mg (NSAID)*; Pain reliever/fever reducer
Chlorpheniramine maleate 2 mg; Antihistamine
Phenylephrine bitartrate 7.8 mg; Nasal decongestant

*nonsteroidal anti-inflammatory drug","['minor aches and pains', 'headache', 'runny nose', 'nasal and sinus congestion', 'sneezing', 'sore throat', 'temporarily reduces fever']",
Alka-Seltzer Plus,"Cough/Cold/Flu Combinations, Daytime",120897.96,"In each packet:
Acetaminophen 500 mg; Pain reliever/fever reducer
Dextromethorphan hydrobromide 20 mg; Cough suppressant
Guaifenesin 400 mg; Expectorant
Phenylephrine hydrochloride 10 mg; Nasal decongestant","['temporarily relieves these symptoms due to a cold or flu:\r\n\t\t\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\tcough\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tsinus congestion and pressure\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing', 'headache', 'minor aches and pains', 'cough', 'sore throat', 'nasal congestion', 'sinus congestion and pressure', 'runny nose', 'sneezing', 'temporarily reduces fever', 'helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothe']",
Robitussin,"Cough/Cold/Flu Combinations, Daytime",181346.94,"In each 10ml
Dextromethorphan HBr, USP 20 mg; cough suppressant
Guaifenesin, USP 200 mg; expectorant","['temporarily relieves cough due to minor throat and bronchial irritation as may occur with a cold', 'helps loosen phlegm (mucus) and thin bronchial secretions to drain bronchial tubes']",
Robitussin,"Cough/Cold/Flu Combinations, Daytime",181346.94,"In each capsule:
Dextromethorphan HBr, USP 10 mg; Cough suppressant
Guaifenesin, USP 200 mg; Expectorant","['temporarily relieves cough due to minor throat and bronchial irritation as may occur with a cold', 'helps loosen phlegm (mucus) and thin bronchial secretions to drain bronchial tubes']",
Coricidin HBP,"Cough/Cold/Flu Combinations, Daytime",151122.45,"In each tablet:
Acetaminophen 325 mg; pain reliever/fever reducer
Chlorpheniramine maleate 2 mgAntihistamine","['temporarily relieves\r\n\t\t\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\trunny nose', 'minor aches and pains', 'headache', 'sneezing', 'runny nose', 'temporarily reduces fever']",
Coricidin HBP,"Cough/Cold/Flu Combinations, Daytime",151122.45,"In each tablet:
	Chlorpheniramine maleate 4 mg; antihistamine

	Dextromethorphan hydrobromide 30 mg; cough suppressant","['temporarily relieves cough due to minor throat and bronchial irritation as may occur with a cold', 'temporarily relieves runny nose and sneezing due to the common cold']",
Coricidin HBP,"Cough/Cold/Flu Combinations, Daytime",151122.45,"In each tablet:
Acetaminophen 500 mg; pain reliever/fever reducer
Chlorpheniramine maleate 2 mg; antihistamine
Dextromethorphan hydrobromide 15 mg; cough suppressant","['temporarily relieves\r\n\t\t\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tcough\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing', 'minor aches and pains', 'headache', 'cough', 'runny nose', 'sneezing', 'temporarily reduces fever']",
Coricidin HBP,"Cough/Cold/Flu Combinations, Daytime",151122.45,"In each softgel:
	Dextromethorphan hydrobromide 10 mg; cough Suppressant

	Guaifenesin 200 mg; expectorant","['temporarily relieves cough due to minor throat and bronchial irritation as may occur with a cold', 'helps loosen phlegm (mucus) and thin bronchial secretions to make coughs more productive']",
Coricidin HBP,"Cough/Cold/Flu Combinations, Daytime",151122.45,"In each softgel:
Dextromethorphan hydrobromide 10 mg; cough suppressant
Guaifenesin 200 mg; expectorant","['temporarily relieves cough due to minor throat and bronchial irritation as may occur with a cold', 'helps loosen phlegm (mucus) and thin bronchial secretions to make coughs more productive']",
DayQuil,"Cough/Cold/Flu Combinations, Daytime",846285.72,"In each caplet:

	Acetaminophen 325 mg; Pain reliever/fever reducer

	Dextromethorphan HBr 10 mg; Cough suppressant

	Guaifenesin 200 mg; Expectorant

	Phenylephrine HCl 5 mg; Nasal decongestant","['temporarily relieves common cold/flu symptoms:\r\n\t\t\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tsinus congestion & pressure\n\r\n\t\t\t\tcough due to minor throat & bronchial irritation\n\r\n\t\t\t\tminor aches & pains\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tfever\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\treduces swelling of nasal passages\n\r\n\t\t\t\ttemporarily restores freer breathing through the nose\n\r\n\t\t\t\tpromotes nasal and/or sinus drainage\n\r\n\t\t\t\thelps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive.', 'nasal congestion', 'sinus congestion & pressure', 'cough due to minor throat & bronchial irritation', 'minor aches & pains', 'headache', 'fever', 'sore throat', 'reduces swelling of nasal passages', 'temporarily restores freer breathing through the nose', 'promotes nasal and/or sinus drainage', 'helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive.']",
DayQuil,"Cough/Cold/Flu Combinations, Daytime",846285.72,"In each 15ml

	Acetaminophen 325 mg; Pain reliever/fever reducer

	Dextromethorphan HBr 10 mg; Cough suppressant

	Guaifenesin 200 mg; Expectorant

	Phenylephrine HCl 5 mg; Nasal decongestant","['temporarily relieves common cold/flu symptoms:\r\n\t\t\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tsinus congestion & pressure\n\r\n\t\t\t\tcough due to minor throat & bronchial irritation\n\r\n\t\t\t\tminor aches & pains\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tfever\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\treduces swelling of nasal passages\n\r\n\t\t\t\ttemporarily restores freer breathing through the nose\n\r\n\t\t\t\tpromotes nasal and/or sinus drainage\n\r\n\t\t\t\thelps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive.', 'nasal congestion', 'sinus congestion & pressure', 'cough due to minor throat & bronchial irritation', 'minor aches & pains', 'headache', 'fever', 'sore throat', 'reduces swelling of nasal passages', 'temporarily restores freer breathing through the nose', 'promotes nasal and/or sinus drainage', 'helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive.']",
Sudafed PE (phenylephrine),"Cough/Cold/Flu Combinations, Daytime",30224.49,"In each caplet:

	Acetaminophen 325 mg; pain reliever/fever reducer

	Phenylephrine HCl 5 mg; nasal decongestant","['temporarily relieves these symptoms associated with hay fever or other respiratory allergies, and the common cold:\r\n\t\t\n\r\n\t\t\t\tsinus congestion and pressure\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\tnasal congestion', 'sinus congestion and pressure', 'headache', 'minor aches and pains', 'nasal congestion', 'promotes sinus drainage', 'temporarily reduces fever']",
Sudafed PE (phenylephrine),"Cough/Cold/Flu Combinations, Daytime",30224.49,"In each caplet:

	Acetaminophen 325 mg; pain reliever/fever reducer

	Guaifenesin 200 mg; expectorant

	Phenylephrine HCl 5 mg; nasal decongestant","['temporarily relieves these symptoms associated with hay fever or other respiratory allergies, and the common cold:\r\n\t\t\n\r\n\t\t\t\tsinus congestion and pressure\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\tnasal congestion', 'sinus congestion and pressure', 'headache', 'minor aches and pains', 'nasal congestion', 'helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive', 'temporarily reduces fever']",
Sudafed PE (phenylephrine),"Cough/Cold/Flu Combinations, Daytime",30224.49,"In each caplet:
	Acetaminophen 325 mg; pain reliever/fever reducer

	Dextromethorphan HBr 10 mg; cough suppressant

	Phenylephrine HCl 5 mg; nasal decongestant","['temporarily relieves these common cold/flu symptoms:\r\n\t\t\n\r\n\t\t\t\tsinus congestion and pressure\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tcough\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\theadache', 'sinus congestion and pressure', 'nasal congestion', 'cough', 'sore throat', 'minor aches and pains', 'headache', 'promotes nasal and sinus drainage', 'temporarily reduces fever']",
Tylenol Cold,"Cough/Cold/Flu Combinations, Daytime",211571.43,"In each 15ml:
Acetaminophen 325 mg/15 mL
Dextromethorphan HBr 10 mg/15 mL
Guaifenesin 200 mg/15 mL
Phenylephrine HCl 5 mg/15 mL","['temporarily relieves the following cold/flu symptoms:\r\n\t\t\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tcough', 'minor aches and pains', 'headache', 'sore throat', 'nasal congestion', 'cough', 'helps loosen phlegm (mucus) and thin bronchial secretions to make coughs more productive', 'temporarily reduces fever']",
Tylenol Cold,"Cough/Cold/Flu Combinations, Daytime",211571.43,"Active ingredients (in each caplet)
Acetaminophen 325 mg
Guaifenesin 200 mg
Phenylephrine HCl 5 mg","['for the temporary relief of the following cold symptoms:\r\n\t\t\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tsinus congestion and pressure', 'minor aches and pains', 'headache', 'sore throat', 'nasal congestion', 'sinus congestion and pressure', 'helps loosen phlegm (mucus) and thin bronchial secretions to make coughs more productive', 'temporarily reduces fever']",
Cepacol,"Topical Cough Suppressants, Lozenges",448560,"(in each lozenge)
Benzocaine 15.0 mg; Oral anesthetic
Pectin 5.0 mg; Oral demulcent","['relieves occasional\xc2\xa0minor irritation, pain and discomfort of\xc2\xa0sore throat and sore mouth', 'protects irritated areas in sore throat and sore mouth']",
Cepacol,"Topical Cough Suppressants, Lozenges",448560,"In each lozenge:
Benzocaine 4 mg; oral pain reliever
Menthol 9 mg; oral pain reliever","['sore throat', 'sore mouth', 'minor mouth irritation', 'pain associated with canker sores']",
Cepacol,"Topical Cough Suppressants, Lozenges",448560,"In each lozenge:

	Benzocaine 7.5 mg; Oral pain reliever

	Dextromethorphan hydrobromide 5 mg; Cough suppressant

	 ","['sore throat', 'sore mouth', 'minor mouth irritation', 'pain associated with canker sores', 'cough due to minor throat and bronchial irritation as may occur with the common cold']",
Cepacol,"Topical Cough Suppressants, Lozenges",448560,"Benzocaine 15.0 mg, Menthol 3.6 mg           ","['sore throat pain\xc2\xa0', 'sore mouth\xc2\xa0', 'minor mouth irritation\xc2\xa0', 'pain associated with canker sores']",
Cepacol,"Topical Cough Suppressants, Lozenges",448560,"In each lozenge:
Benzocaine 3 mg; oral pain reliever","['sore throat', 'sore mouth', 'minor mouth irritation', 'pain associated with canker sores']",
Cepacol,"Topical Cough Suppressants, Lozenges",448560,"In each lozenge:
Benzocaine 6.0 mg; oral anesthetic",,
Cepacol,"Topical Cough Suppressants, Lozenges",448560,Menthol 3 mg  ,"['sore throat pain\xc2\xa0', 'sore mouth\xc2\xa0', 'minor mouth irritation']",
Cepacol,"Topical Cough Suppressants, Lozenges",448560,"In each lozenge:
Benzocaine 4 mg; oral pain reliever","['sore throat', 'sore mouth', 'minor mouth irritation', 'pain associated with canker sores']",
Luden's,"Topical Cough Suppressants, Lozenges",64080,"In each drop:
Pectin 2.8 mg; Oral Demulcent",,
Luden's,"Topical Cough Suppressants, Lozenges",64080,"In each drop:
Pectin 2.8 mg; Oral Demulcent",,
Luden's,"Topical Cough Suppressants, Lozenges",64080,"In each drop:
Menthol 2.5 mg; Oral anesthetic",,
Sucrets,"Topical Cough Suppressants, Lozenges",48060,"per lozenge:
Menthol 5.0 mg; Cough Suppressant
Pectin 6.0 mg; Demulcent","['occasional minor irritation, pain, sore throat and sore mouth', 'cough associated with a cold or inhaled irritants', 'for protection of irritated areas in sore mouth and throat']",
Sucrets,"Topical Cough Suppressants, Lozenges",48060,"In each lozange:
Dyclonine Hydrochloride 1.2 mg; Oral Anesthetic","['pain', 'minor irritation', 'sore mouth', 'sore throat']",
Sucrets,"Topical Cough Suppressants, Lozenges",48060,"per lozenge: 
Hexylresorcinol 2.4 mg; Sore Throat/Oral Anesthetic","['minor irritation', 'pain', 'sore mouth', 'sore throat']",
Sucrets,"Topical Cough Suppressants, Lozenges",48060,"In each lozenge:
Dyclonine Hydrochloride 3.0 mg; oral anesthetic/analgesic
Menthol 6.0 mg; cough suppressant","['occasional minor irritation, pain, sore throat and sore mouth', 'cough associated with a cold or inhaled irritants']",
Sucrets,"Topical Cough Suppressants, Lozenges",48060,"Per lozenge:
Menthol 5.0 mg; cough suppressant
Pectin 6.0 mg; demulcent","['occasional minor irritation, pain, sore throat and sore mouth', 'cough associated with a cold or inhaled irritants', 'for protection of irritated areas in sore mouth and throat']",
Sucrets,"Topical Cough Suppressants, Lozenges",48060,"Per pouch:
	Menthol 3.3 mg; oral anesthetic
	Pectin 12.5 mg; oral demulcent

	 

	 ","['Temporarily relieves occasional minor irritation, pain, sore throat and sore mouth', 'For protection of irritated areas in sore mouth and throat']",
Sucrets,"Topical Cough Suppressants, Lozenges",48060,"In each lozange:

	Menthol 3.3 mg, Pectin 12.5 mg","['Temporarily relieves occasional minor irritation, pain, sore throat and sore mouth', 'For protection of irritated areas in sore mouth and throat']",
Sucrets,"Topical Cough Suppressants, Lozenges",48060,"In each lozenge:
Dextromethorphan Hydrobromide 10mg; cough suppressant",,
Sucrets,"Topical Cough Suppressants, Lozenges",48060,"per lozenge:
Dyclonine Hydrochloride 3.0 mg; Oral Anesthetic/Analgesic
Menthol 6.0 mg; Cough Suppressant","['occasional minor irritation, pain, sore throat and sore mouth', 'cough associated with a cold or inhaled irritants']",
Sucrets,"Topical Cough Suppressants, Lozenges",48060,,,
Halls,"Topical Cough Suppressants, Lozenges",352440,"In each drop:
Mocha Mint Flavor
Active Ingredient: Menthol 5 mg

Apple Cider Flavor 
Active Ingredient: Menthol 5.7 mg","['Cough due to a cold', 'Occasional minor irritations or sore throat']",
Halls,"Topical Cough Suppressants, Lozenges",352440,"HALLS Defense® Vitamin C Supplement Drops:
Per drop:
Calories: 15
Sodium: 10 mg
Total Carbohydrate: 4 g
Sugars: 3 g
Vitamin C: 60 mg


	HALLS Defense® Harvest Cherry Supplement Drops:
	Per drop:
	Calories: 15
	Sodium: 10 mg
	Total Carbohydrate: 4 g
	Sugars: 3 g
	Vitamin C: 60 mg
	Zinc: 1.5 mg
	Standardized Echinacea Root Extract: 15 mg",,
Halls,"Topical Cough Suppressants, Lozenges",352440,"In each drop:
Pectin 7 mg",,
Halls,"Topical Cough Suppressants, Lozenges",352440,"In each drop:

	Cherry
	Active Ingredient: Menthol 7.5 mg

	Honey-Lemon 
	Active Ingredient: Menthol 7.5 mg

	Icy Lemon™ 
	Active Ingredient: Menthol 2.7 mg

	Icy Strawberry™ 
	Active Ingredient: Menthol 2.7 mg


	 ","['cough due to a cold', 'occasional minor irritation or sore throat']",
Halls,"Topical Cough Suppressants, Lozenges",352440,"In each drop:

	Freshmint™
	Active Ingredient: Menthol 5.2 mg 

	Peppermint
	Active Ingredient: Menthol 9.4 mg

	Spearmint
	Active Ingredient: Menthol 5 mg

	Black Cherry
	Active Ingredient: Menthol 5.8 mg (squares), 5 mg (drops) 

	Citrus Blend
	Active Ingredient: Menthol 5 mg

	Honey-Berry
	Active Ingredient: Menthol 2.5 mg

	Honey-Lemon
	Active Ingredient: Menthol 7.6 mg

	Mountain Menthol™
	Active Ingredient: Menthol 6.8 mg (squares), 5.8 mg (drops)

	 ","['cough due to a cold', 'occasional minor irritation or sore throat']",
Halls,"Topical Cough Suppressants, Lozenges",352440,"In each drop:
Menthol 2.5 mg ",,
Halls,"Topical Cough Suppressants, Lozenges",352440,"In each drop:
Pectin 7 mg",,
Halls,"Topical Cough Suppressants, Lozenges",352440,"In each drop:
Menthol 7.5 mg; Cough suppressant, Oral Anesthetic","['cough due to a cold', 'occasional minor irritation or sore throat']",
Sucrets,Cold Remedies,79546.4,"Per pouch:
	Menthol 3.3 mg; oral anesthetic
	Pectin 12.5 mg; oral demulcent

	 

	 ","['Temporarily relieves occasional minor irritation, pain, sore throat and sore mouth', 'For protection of irritated areas in sore mouth and throat']",
Sucrets,Cold Remedies,79546.4,"In each lozenge:
Dextromethorphan Hydrobromide 10mg; cough suppressant",,
Sucrets,Cold Remedies,79546.4,"In each lozenge:
Dyclonine Hydrochloride 3.0 mg; oral anesthetic/analgesic
Menthol 6.0 mg; cough suppressant","['occasional minor irritation, pain, sore throat and sore mouth', 'cough associated with a cold or inhaled irritants']",
Sucrets,Cold Remedies,79546.4,"Per lozenge:
Menthol 5.0 mg; cough suppressant
Pectin 6.0 mg; demulcent","['occasional minor irritation, pain, sore throat and sore mouth', 'cough associated with a cold or inhaled irritants', 'for protection of irritated areas in sore mouth and throat']",
Zicam,Cold Remedies,338072.2,"In each 30mL = 2 tablespoons:
Acetaminophen 650 mg; Pain reliever/fever reducer
Dextromethorphan HBr 20 mg; Cough suppressant
Guaifenesin 400 mg; Expectorant","['helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus', 'cough due to minor throat and bronchial irritation', 'minor aches and pains', 'sore throat', 'muscular aches', 'headache', 'fever']",
Zicam,Cold Remedies,338072.2,"In each 30mL = 2 tablespoons:
Acetaminophen 650 mg; Pain reliever/fever reducer
Dextromethorphan HBr 20 mg; Cough suppressant
Doxylamine Succinate 12.5 mg; Antihistamine","['cough due to minor throat and bronchial irritation', 'minor aches and pains', 'sore throat', 'muscular aches', 'headache', 'fever', 'runny nose', 'watery eyes', 'sneezing']",
Zicam,Cold Remedies,338072.2,"Zincum Aceticum 2x; Reduces duration and severity of the common cold
Zincum Gluconicum 1x; Reduces duration and severity of the common cold","['reduces duration of the common cold', 'reduces severity of cold symptoms:\r\n\t\t\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\tstuffy nose\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\tcoughing\n\r\n\t\t\t\tcongestion', 'sore throat', 'stuffy nose', 'sneezing', 'coughing', 'congestion']",
Zicam,Cold Remedies,338072.2,"In each soft chew:
	Zincum aceticum 2x; Relieves cold symptoms
	Zincum gluconicum 2x; Relieves cold symptoms","['temporarily relieves symptoms of the common cold\r\n\t\t\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tscratchy throat', 'nasal congestion', 'runny nose', 'scratchy throat']",
Cepacol,Cold Remedies,735804.2,"In each lozenge:
Benzocaine 4 mg; oral pain reliever
Menthol 9 mg; oral pain reliever","['sore throat', 'sore mouth', 'minor mouth irritation', 'pain associated with canker sores']",
Cepacol,Cold Remedies,735804.2,"In each lozenge:
Benzocaine 6.0 mg; oral anesthetic",,
Cepacol,Cold Remedies,735804.2,"In each lozenge:
Benzocaine 15 mg; oral pain reliever
Menthol 3.6 mg ; oral pain reliever","['sore throat', 'sore mouth', 'minor mouth irritation', 'pain associated with canker sores']",
Cepacol,Cold Remedies,735804.2,"Benzocaine 5.0%; oral anestetics
Glycerin 33.0%; oral demulcent","['occasional\xc2\xa0minor irritation, pain, sore mouth and sore throat', 'pain due to canker sores\xc2\xa0', 'pain due to minor irritation or injury of the mouth and gums\xc2\xa0', 'minor\xc2\xa0discomfort and protection of irritated areas in sore mouth and sore throat']",
Cepacol,Cold Remedies,735804.2,"In each lozenge:
Benzocaine 7.5 mg; oral pain reliever
Dextromethorphan hydrobromide 5 mg; cough suppressant","['sore throat', 'sore mouth', 'minor mouth irritation', 'pain associated with canker sores', 'cough due to minor throat and bronchial irritation as may occur with the common cold']",
Cepacol,Cold Remedies,735804.2,"In each lozenge:
Benzocaine 4 mg; oral pain reliever","['sore throat', 'sore mouth', 'minor mouth irritation', 'pain associated with canker sores']",
Cepacol,Cold Remedies,735804.2,"In each lozenge:
Benzocaine 3 mg; oral pain reliever","['sore throat', 'sore mouth', 'minor mouth irritation', 'pain associated with canker sores']",
Zicam,Zinc Cold Remedies,415979.5,Oxymetazoline HCl 0.05%, Nasal decongestant,"['temporarily relieves nasal congestion due to:\r\n\t\t\n\r\n\t\t\t\tcommon cold\n\r\n\t\t\t\thay fever\n\r\n\t\t\t\tupper respiratory allergies', 'common cold', 'hay fever', 'upper respiratory allergies', 'helps clear nasal passages.', 'shrinks swollen membranes.', 'temporarily relieves sinus congestion and pressure.']"
Zicam,Zinc Cold Remedies,415979.5,"Mentha Piperita, 4x; cough suppressant",['Temporarily controls cough due to minor throat and bronchial irritation.'],
Zicam,Zinc Cold Remedies,415979.5,"In each 30mL = 2 tablespoons:
Acetaminophen 650 mg; Pain reliever/fever reducer
Dextromethorphan HBr 20 mg; Cough suppressant
Guaifenesin 400 mg; Expectorant","['helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus', 'cough due to minor throat and bronchial irritation', 'minor aches and pains', 'sore throat', 'muscular aches', 'headache', 'fever']",
Zicam,Zinc Cold Remedies,415979.5,"In each 30mL = 2 tablespoons:
Acetaminophen 650 mg; Pain reliever/fever reducer
Dextromethorphan HBr 20 mg; Cough suppressant
Doxylamine Succinate 12.5 mg; Antihistamine","['cough due to minor throat and bronchial irritation', 'minor aches and pains', 'sore throat', 'muscular aches', 'headache', 'fever', 'runny nose', 'watery eyes', 'sneezing']",
Zicam,Zinc Cold Remedies,415979.5,"Zincum Aceticum 2x; Reduces duration and severity of the common cold
Zincum Gluconicum 1x; Reduces duration and severity of the common cold","['reduces duration of the common cold', 'reduces severity of cold symptoms:\r\n\t\t\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\tstuffy nose\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\tcoughing\n\r\n\t\t\t\tcongestion', 'sore throat', 'stuffy nose', 'sneezing', 'coughing', 'congestion']",
Sucrets,Zinc Lozenges,57518.65,"per lozenge:
Dyclonine Hydrochloride 3.0 mg; Oral Anesthetic/Analgesic
Menthol 6.0 mg; Cough Suppressant","['occasional minor irritation, pain, sore throat and sore mouth', 'cough associated with a cold or inhaled irritants']",
Sucrets,Zinc Lozenges,57518.65,"In each lozange:
Dyclonine Hydrochloride 1.2 mg; Oral Anesthetic","['pain', 'minor irritation', 'sore mouth', 'sore throat']",
Sucrets,Zinc Lozenges,57518.65,"Per lozenge:
Menthol 5.0 mg; cough suppressant
Pectin 6.0 mg; demulcent","['occasional minor irritation, pain, sore throat and sore mouth', 'cough associated with a cold or inhaled irritants', 'for protection of irritated areas in sore mouth and throat']",
Sucrets,Zinc Lozenges,57518.65,"per lozenge:
Menthol 5.0 mg; Cough Suppressant
Pectin 6.0 mg; Demulcent","['occasional minor irritation, pain, sore throat and sore mouth', 'cough associated with a cold or inhaled irritants', 'for protection of irritated areas in sore mouth and throat']",
Sucrets,Zinc Lozenges,57518.65,"In each lozenge:
Dextromethorphan Hydrobromide 10mg; cough suppressant",,
Sucrets,Zinc Lozenges,57518.65,"per lozenge: 
Hexylresorcinol 2.4 mg; Sore Throat/Oral Anesthetic","['minor irritation', 'pain', 'sore mouth', 'sore throat']",
Sucrets,Zinc Lozenges,57518.65,"In each lozenge:
Dyclonine Hydrochloride 3.0 mg; oral anesthetic/analgesic
Menthol 6.0 mg; cough suppressant","['occasional minor irritation, pain, sore throat and sore mouth', 'cough associated with a cold or inhaled irritants']",
Sucrets,Zinc Lozenges,57518.65,"Per pouch:
	Menthol 3.3 mg; oral anesthetic
	Pectin 12.5 mg; oral demulcent

	 

	 ","['Temporarily relieves occasional minor irritation, pain, sore throat and sore mouth', 'For protection of irritated areas in sore mouth and throat']",
Sucrets,Zinc Lozenges,57518.65,"In each lozange:

	Menthol 3.3 mg, Pectin 12.5 mg","['Temporarily relieves occasional minor irritation, pain, sore throat and sore mouth', 'For protection of irritated areas in sore mouth and throat']",
